West Carleton SS,school_year,studentNo,first_name,last_name,oen_number,end_date,class_code
West Carleton SS,20122013,956135620,Forrest,Robinson,749678711,28/06/2013 00:00:00,1CONS-02
West Carleton SS,20122013,956135620,Forrest,Robinson,749678711,28/06/2013 00:00:00,1CONS-04
West Carleton SS,20122013,956135620,Forrest,Robinson,749678711,28/06/2013 00:00:00,1CONS-06
West Carleton SS,20122013,711628026,Lysandra,Hawkins,563561624,28/06/2013 00:00:00,1CONS-02
West Carleton SS,20122013,711628026,Lysandra,Hawkins,563561624,28/06/2013 00:00:00,1CONS-04
West Carleton SS,20122013,711628026,Lysandra,Hawkins,563561624,28/06/2013 00:00:00,1CONS-06
West Carleton SS,20122013,600591674,Lane,Lucas,194907061,28/06/2013 00:00:00,1CONS-02
West Carleton SS,20122013,600591674,Lane,Lucas,194907061,28/06/2013 00:00:00,1CONS-04
West Carleton SS,20122013,600591674,Lane,Lucas,194907061,28/06/2013 00:00:00,1CONS-06
West Carleton SS,20122013,600591674,Lane,Lucas,194907061,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,543615372,Griffith,York,121248184,28/06/2013 00:00:00,1CONS-02
West Carleton SS,20122013,543615372,Griffith,York,121248184,28/06/2013 00:00:00,1CONS-04
West Carleton SS,20122013,543615372,Griffith,York,121248184,28/06/2013 00:00:00,1CONS-06
West Carleton SS,20122013,459812104,Andrew,Barry,991468715,28/06/2013 00:00:00,1CONS-02
West Carleton SS,20122013,459812104,Andrew,Barry,991468715,28/06/2013 00:00:00,1CONS-04
West Carleton SS,20122013,459812104,Andrew,Barry,991468715,28/06/2013 00:00:00,1CONS-06
West Carleton SS,20122013,295026986,Brett,Reid,103886435,28/06/2013 00:00:00,1CONS-02
West Carleton SS,20122013,295026986,Brett,Reid,103886435,28/06/2013 00:00:00,1CONS-04
West Carleton SS,20122013,295026986,Brett,Reid,103886435,28/06/2013 00:00:00,1CONS-06
West Carleton SS,20122013,426139638,Harlan,Chavez,32310285,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,426139638,Harlan,Chavez,32310285,28/06/2013 00:00:00,1KICS1-02
West Carleton SS,20122013,426139638,Harlan,Chavez,32310285,28/06/2013 00:00:00,ADB4M.-01
West Carleton SS,20122013,426139638,Harlan,Chavez,32310285,28/06/2013 00:00:00,ATU4M.-01
West Carleton SS,20122013,930263266,Jacqueline,Bridges,489942098,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,930263266,Jacqueline,Bridges,489942098,28/06/2013 00:00:00,1KICS1-02
West Carleton SS,20122013,930263266,Jacqueline,Bridges,489942098,28/06/2013 00:00:00,ICS3U/4U.-02
West Carleton SS,20122013,930263266,Jacqueline,Bridges,489942098,28/06/2013 00:00:00,TFJ3C.-01
West Carleton SS,20122013,931546640,Daquan,Ruiz,144041485,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,931546640,Daquan,Ruiz,144041485,28/06/2013 00:00:00,CHY4U.-01
West Carleton SS,20122013,931546640,Daquan,Ruiz,144041485,28/06/2013 00:00:00,ENG4U.-02
West Carleton SS,20122013,931546640,Daquan,Ruiz,144041485,28/06/2013 00:00:00,HHS4M.-01
West Carleton SS,20122013,167214090,Akeem,Hamilton,222408261,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,167214090,Akeem,Hamilton,222408261,28/06/2013 00:00:00,1KICS1-02
West Carleton SS,20122013,167214090,Akeem,Hamilton,222408261,28/06/2013 00:00:00,BAT4M.-01
West Carleton SS,20122013,134280776,Dana,Hewitt,978789458,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,134280776,Dana,Hewitt,978789458,28/06/2013 00:00:00,1KICS1-02
West Carleton SS,20122013,134280776,Dana,Hewitt,978789458,28/06/2013 00:00:00,IDP4O.-01
West Carleton SS,20122013,134280776,Dana,Hewitt,978789458,28/06/2013 00:00:00,MDM4U.-02
West Carleton SS,20122013,253511964,Rama,Henry,390928201,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,253511964,Rama,Henry,390928201,28/06/2013 00:00:00,ENG4U.-02
West Carleton SS,20122013,253511964,Rama,Henry,390928201,28/06/2013 00:00:00,SCH4U.-03
West Carleton SS,20122013,381966866,Griffith,Jefferson,415026946,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,381966866,Griffith,Jefferson,415026946,28/06/2013 00:00:00,CHY4C.-01
West Carleton SS,20122013,381966866,Griffith,Jefferson,415026946,28/06/2013 00:00:00,HHS4M.-01
West Carleton SS,20122013,381966866,Griffith,Jefferson,415026946,28/06/2013 00:00:00,SCH4C.-01
West Carleton SS,20122013,13753112,Regan,Horne,459214642,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,13753112,Regan,Horne,459214642,28/06/2013 00:00:00,FIF4U.-02
West Carleton SS,20122013,13753112,Regan,Horne,459214642,28/06/2013 00:00:00,TWJ4E.-01
West Carleton SS,20122013,151890138,Alexa,Barr,195415648,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,151890138,Alexa,Barr,195415648,28/06/2013 00:00:00,BOH4M.-01
West Carleton SS,20122013,151890138,Alexa,Barr,195415648,28/06/2013 00:00:00,SCH4U.-01
West Carleton SS,20122013,751587655,Leonard,Gamble,965878555,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,751587655,Leonard,Gamble,965878555,28/06/2013 00:00:00,BAT4M.-01
West Carleton SS,20122013,751587655,Leonard,Gamble,965878555,28/06/2013 00:00:00,ENG4U.-06
West Carleton SS,20122013,751587655,Leonard,Gamble,965878555,28/06/2013 00:00:00,HHS4M.-01
West Carleton SS,20122013,101886508,Delilah,Conway,314491981,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,101886508,Delilah,Conway,314491981,28/06/2013 00:00:00,FIF4U.-02
West Carleton SS,20122013,101886508,Delilah,Conway,314491981,28/06/2013 00:00:00,HHS4M.-01
West Carleton SS,20122013,189439430,Geraldine,Chambers,750037269,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,189439430,Geraldine,Chambers,750037269,28/06/2013 00:00:00,ATC3M/4M.-02
West Carleton SS,20122013,189439430,Geraldine,Chambers,750037269,28/06/2013 00:00:00,HSP3M.-03
West Carleton SS,20122013,189439430,Geraldine,Chambers,750037269,28/06/2013 00:00:00,MCR3U.-01
West Carleton SS,20122013,986490609,Destiny,Whitaker,69810225,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,986490609,Destiny,Whitaker,69810225,28/06/2013 00:00:00,ENG2D.-08
West Carleton SS,20122013,986490609,Destiny,Whitaker,69810225,28/06/2013 00:00:00,FIF2D.-03
West Carleton SS,20122013,986490609,Destiny,Whitaker,69810225,28/06/2013 00:00:00,MPM2D.-04
West Carleton SS,20122013,495515880,Iris,Callahan,324901532,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,495515880,Iris,Callahan,324901532,28/06/2013 00:00:00,BAT4M.-01
West Carleton SS,20122013,495515880,Iris,Callahan,324901532,28/06/2013 00:00:00,MCV4U.-03
West Carleton SS,20122013,495515880,Iris,Callahan,324901532,28/06/2013 00:00:00,PSE4U.-01
West Carleton SS,20122013,192632746,Piper,Fowler,629698895,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,192632746,Piper,Fowler,629698895,28/06/2013 00:00:00,ADB4M.-01
West Carleton SS,20122013,192632746,Piper,Fowler,629698895,28/06/2013 00:00:00,ATU4M.-01
West Carleton SS,20122013,192632746,Piper,Fowler,629698895,28/06/2013 00:00:00,MCV4U.-03
West Carleton SS,20122013,909757793,Gisela,Mclaughlin,64660677,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,909757793,Gisela,Mclaughlin,64660677,28/06/2013 00:00:00,BAT4M.-01
West Carleton SS,20122013,909757793,Gisela,Mclaughlin,64660677,28/06/2013 00:00:00,ENG4U.-02
West Carleton SS,20122013,909757793,Gisela,Mclaughlin,64660677,28/06/2013 00:00:00,HSB4M.-02
West Carleton SS,20122013,223167918,Xavier,Hayden,537213620,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,223167918,Xavier,Hayden,537213620,28/06/2013 00:00:00,BAT4M.-01
West Carleton SS,20122013,223167918,Xavier,Hayden,537213620,28/06/2013 00:00:00,MCV4U.-03
West Carleton SS,20122013,223167918,Xavier,Hayden,537213620,28/06/2013 00:00:00,SPH4U.-02
West Carleton SS,20122013,46022949,Raja,Cooper,714492847,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,46022949,Raja,Cooper,714492847,28/06/2013 00:00:00,COP4AD-02
West Carleton SS,20122013,336661537,Avram,Hopper,575752199,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,336661537,Avram,Hopper,575752199,28/06/2013 00:00:00,1KICS1-02
West Carleton SS,20122013,336661537,Avram,Hopper,575752199,28/06/2013 00:00:00,1RESO.-06
West Carleton SS,20122013,336661537,Avram,Hopper,575752199,28/06/2013 00:00:00,ENG4U.-06
West Carleton SS,20122013,252005803,Oliver,Robles,384147228,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,252005803,Oliver,Robles,384147228,28/06/2013 00:00:00,AWA3O.-01
West Carleton SS,20122013,252005803,Oliver,Robles,384147228,28/06/2013 00:00:00,COP3AD-01
West Carleton SS,20122013,597249346,Denton,Edwards,706298847,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,597249346,Denton,Edwards,706298847,28/06/2013 00:00:00,1KICS1-02
West Carleton SS,20122013,230385444,Brynn,Yang,110736169,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,230385444,Brynn,Yang,110736169,28/06/2013 00:00:00,1KICS1-02
West Carleton SS,20122013,410945464,Simone,Watkins,818052415,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,410945464,Simone,Watkins,818052415,28/06/2013 00:00:00,ICS3U/4U.-02
West Carleton SS,20122013,410945464,Simone,Watkins,818052415,28/06/2013 00:00:00,MCV4U.-02
West Carleton SS,20122013,410945464,Simone,Watkins,818052415,28/06/2013 00:00:00,SCH4U.-03
West Carleton SS,20122013,145216927,Justine,Small,560138848,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,145216927,Justine,Small,560138848,28/06/2013 00:00:00,BAT4M.-01
West Carleton SS,20122013,145216927,Justine,Small,560138848,28/06/2013 00:00:00,MCV4U.-03
West Carleton SS,20122013,905323922,Angela,Noble,701594065,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,905323922,Angela,Noble,701594065,28/06/2013 00:00:00,1KICS1-02
West Carleton SS,20122013,905323922,Angela,Noble,701594065,28/06/2013 00:00:00,ADB4M.-01
West Carleton SS,20122013,905323922,Angela,Noble,701594065,28/06/2013 00:00:00,ATC3M/4M.-02
West Carleton SS,20122013,214076429,Zenaida,Herring,754723769,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,214076429,Zenaida,Herring,754723769,28/06/2013 00:00:00,BOH4M.-01
West Carleton SS,20122013,214076429,Zenaida,Herring,754723769,28/06/2013 00:00:00,CHY4U.-01
West Carleton SS,20122013,214076429,Zenaida,Herring,754723769,28/06/2013 00:00:00,MAP4C.-02
West Carleton SS,20122013,201623900,Lunea,Lane,629428296,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,201623900,Lunea,Lane,629428296,28/06/2013 00:00:00,AWA3O.-01
West Carleton SS,20122013,201623900,Lunea,Lane,629428296,28/06/2013 00:00:00,COP3AD-01
West Carleton SS,20122013,201623900,Lunea,Lane,629428296,28/06/2013 00:00:00,HZB3O.-01
West Carleton SS,20122013,656118648,Raymond,Cleveland,254814605,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,656118648,Raymond,Cleveland,254814605,28/06/2013 00:00:00,AMG3O.-01
West Carleton SS,20122013,656118648,Raymond,Cleveland,254814605,28/06/2013 00:00:00,ICS3U/4U.-02
West Carleton SS,20122013,656118648,Raymond,Cleveland,254814605,28/06/2013 00:00:00,TCJ3C/4C.-01
West Carleton SS,20122013,227450189,Robert,Gentry,142602261,28/06/2013 00:00:00,1ELE1.-02
West Carleton SS,20122013,227450189,Robert,Gentry,142602261,28/06/2013 00:00:00,CHY4U.-01
West Carleton SS,20122013,227450189,Robert,Gentry,142602261,28/06/2013 00:00:00,ENG4U.-02
West Carleton SS,20122013,227450189,Robert,Gentry,142602261,28/06/2013 00:00:00,HSB4M.-02
West Carleton SS,20122013,753361027,Ciaran,Hodges,276781664,28/06/2013 00:00:00,1KICS1-02
West Carleton SS,20122013,753361027,Ciaran,Hodges,276781664,28/06/2013 00:00:00,COP3AD-01
West Carleton SS,20122013,748944355,Paki,Salazar,568221810,28/06/2013 00:00:00,1KICS1-02
West Carleton SS,20122013,748944355,Paki,Salazar,568221810,28/06/2013 00:00:00,BAT4M.-01
West Carleton SS,20122013,748944355,Paki,Salazar,568221810,28/06/2013 00:00:00,MCV4U.-02
West Carleton SS,20122013,748944355,Paki,Salazar,568221810,28/06/2013 00:00:00,SCH4U.-01
West Carleton SS,20122013,22840971,Geraldine,Mcleod,55752138,28/06/2013 00:00:00,1KICS1-02
West Carleton SS,20122013,22840971,Geraldine,Mcleod,55752138,28/06/2013 00:00:00,BAT4M.-01
West Carleton SS,20122013,22840971,Geraldine,Mcleod,55752138,28/06/2013 00:00:00,CHY4U.-01
West Carleton SS,20122013,22840971,Geraldine,Mcleod,55752138,28/06/2013 00:00:00,MCV4U.-01
