West Carleton SS,school_year,studentNo,first_name,last_name,oen_number,end_date,class_code
West Carleton SS,20132014,956135620,Forrest,Robinson,749678711,6/27/2014 00:00:00,1CONS-02
West Carleton SS,20132014,711628026,Lysandra,Hawkins,563561624,6/27/2014 00:00:00,1CONS-02
West Carleton SS,20132014,600591674,Lane,Lucas,194907061,6/27/2014 00:00:00,1CONS-02
West Carleton SS,20132014,543615372,Griffith,York,121248184,6/27/2014 00:00:00,1CONS-02
West Carleton SS,20132014,459812104,Andrew,Barry,991468715,6/27/2014 00:00:00,1CONS-02
West Carleton SS,20132014,295026986,Brett,Reid,103886435,6/27/2014 00:00:00,1CONS-02
West Carleton SS,20132014,426139638,Harlan,Chavez,32310285,6/27/2014 00:00:00,1CONS-02
West Carleton SS,20132014,930263266,Jacqueline,Bridges,489942098,6/27/2014 00:00:00,1ELE1-02
West Carleton SS,20132014,930263266,Jacqueline,Bridges,489942098,6/27/2014 00:00:00,1KIC1.-02
West Carleton SS,20132014,930263266,Jacqueline,Bridges,489942098,6/27/2014 00:00:00,ENG3U.-08
West Carleton SS,20132014,930263266,Jacqueline,Bridges,489942098,6/27/2014 00:00:00,MBF3C.-02
West Carleton SS,20132014,931546640,Daquan,Ruiz,144041485,6/27/2014 00:00:00,1ELE1-02
West Carleton SS,20132014,931546640,Daquan,Ruiz,144041485,6/27/2014 00:00:00,1KIC1.-02
West Carleton SS,20132014,931546640,Daquan,Ruiz,144041485,6/27/2014 00:00:00,ATC3M/4M.-02
West Carleton SS,20132014,931546640,Daquan,Ruiz,144041485,6/27/2014 00:00:00,AWQ4M.-02
West Carleton SS,20132014,167214090,Akeem,Hamilton,222408261,6/27/2014 00:00:00,1ELE1-02
West Carleton SS,20132014,167214090,Akeem,Hamilton,222408261,6/27/2014 00:00:00,ATC3M/4M.-02
West Carleton SS,20132014,167214090,Akeem,Hamilton,222408261,6/27/2014 00:00:00,MCR3U.-02
West Carleton SS,20132014,167214090,Akeem,Hamilton,222408261,6/27/2014 00:00:00,SPH3U.-02
West Carleton SS,20132014,134280776,Dana,Hewitt,978789458,6/27/2014 00:00:00,1ELE1-02
West Carleton SS,20132014,134280776,Dana,Hewitt,978789458,6/27/2014 00:00:00,1KIC1.-02
West Carleton SS,20132014,134280776,Dana,Hewitt,978789458,6/27/2014 00:00:00,FSF4U.-01
West Carleton SS,20132014,134280776,Dana,Hewitt,978789458,6/27/2014 00:00:00,MCV4U.-02
West Carleton SS,20132014,253511964,Rama,Henry,390928201,6/27/2014 00:00:00,1ELE1-02
West Carleton SS,20132014,253511964,Rama,Henry,390928201,6/27/2014 00:00:00,CPW4U.-01
West Carleton SS,20132014,253511964,Rama,Henry,390928201,6/27/2014 00:00:00,MCV4U.-02
West Carleton SS,20132014,253511964,Rama,Henry,390928201,6/27/2014 00:00:00,SES4U.-01
West Carleton SS,20132014,381966866,Griffith,Jefferson,415026946,6/27/2014 00:00:00,1ELE1-02
West Carleton SS,20132014,381966866,Griffith,Jefferson,415026946,6/27/2014 00:00:00,FSF2D.-02
West Carleton SS,20132014,381966866,Griffith,Jefferson,415026946,6/27/2014 00:00:00,PPL2OP-02
West Carleton SS,20132014,381966866,Griffith,Jefferson,415026946,6/27/2014 00:00:00,RCR2O.-02
West Carleton SS,20132014,13753112,Regan,Horne,459214642,6/27/2014 00:00:00,1ELE1-02
West Carleton SS,20132014,13753112,Regan,Horne,459214642,6/27/2014 00:00:00,ENG4C.-02
West Carleton SS,20132014,13753112,Regan,Horne,459214642,6/27/2014 00:00:00,PAF2O/3O.-01
West Carleton SS,20132014,13753112,Regan,Horne,459214642,6/27/2014 00:00:00,TCJ3C/4C.-02
West Carleton SS,20132014,151890138,Alexa,Barr,195415648,6/27/2014 00:00:00,1ELE1-02
West Carleton SS,20132014,151890138,Alexa,Barr,195415648,6/27/2014 00:00:00,1KIC1.-02
West Carleton SS,20132014,151890138,Alexa,Barr,195415648,6/27/2014 00:00:00,ENG3U.-04
West Carleton SS,20132014,151890138,Alexa,Barr,195415648,6/27/2014 00:00:00,HSP3U.-02
West Carleton SS,20132014,751587655,Leonard,Gamble,965878555,6/27/2014 00:00:00,1ELE1-02
